river,n_cell,value,sd,measure,buffer,year,source
Nikanbetsu,126,8.799007749,0.623151555,sst,50km,2019,modis
Utabetsu,67,9.054402778,0.806446757,sst,50km,2019,modis
Nishibetsu,331,9.013670477,2.481479341,sst,50km,2020,modis
Onnebetsu,318,11.83245258,1.962180144,sst,50km,2020,modis
Okushibetsu,40,11.92062476,4.126298481,sst,50km,2020,modis
Yamubetsu,51,12.31637228,2.066593232,sst,50km,2020,modis
Horonai,269,10.83782503,2.372208891,sst,50km,2020,modis
Shimonaefutoro,375,10.09973311,2.834769013,sst,50km,2020,modis
Masuhoro,102,10.77441151,1.317342115,sst,50km,2020,modis
Nobusha,247,13.21257053,1.378861717,sst,50km,2020,modis
Shokanbetsu,30,14.06766644,0.363899564,sst,50km,2020,modis
Atsuta,119,14.28781483,1.6804398,sst,50km,2020,modis
Shakotan,375,13.82457303,1.508272214,sst,50km,2020,modis
Yobetsu,44,13.54124969,1.079416601,sst,50km,2020,modis
Furuu,44,14.27249973,1.647184178,sst,50km,2020,modis
Tomari,215,14.33204621,1.373250537,sst,50km,2020,modis
Chihase,24,14.73583297,0.534611737,sst,50km,2020,modis
Sukki,104,14.62173047,0.68931432,sst,50km,2020,modis
Toshibetsu,87,14.88913763,0.992051836,sst,50km,2020,modis
Futoro,20,14.97274961,0.499132903,sst,50km,2020,modis
Usubetsu,98,14.81127518,1.346796719,sst,50km,2020,modis
Kenichi,45,14.02133289,3.146211391,sst,50km,2020,modis
Toppu,38,15.65592068,2.499548582,sst,50km,2020,modis
Hime,9,15.65111086,0.991479935,sst,50km,2020,modis
Ishizaki,183,15.81087398,1.075621038,sst,50km,2020,modis
Ookamotsu,111,16.5138735,0.96252491,sst,50km,2020,modis
Kokamotsu,10,16.66499958,0.636604129,sst,50km,2020,modis
Mogusa,20,16.72324972,0.758891181,sst,50km,2020,modis
Oyobe,52,16.8952881,1.330258851,sst,50km,2020,modis
Shiotomari,272,14.03244453,2.379002041,sst,50km,2020,modis
Haraki,86,13.17313925,1.950532767,sst,50km,2020,modis
Hidakahorobetsu,298,9.668456149,2.326546366,sst,50km,2020,modis
Nikanbetsu,126,8.673928364,1.838069017,sst,50km,2020,modis
Utabetsu,67,9.777014711,2.034106901,sst,50km,2020,modis
Nishibetsu,74,3.858605796,1.351428402,chr_a,30km,2017,modis
Onnebetsu,106,1.389617201,0.355836311,chr_a,30km,2017,modis
Okushibetsu,17,1.890721833,0.631973732,chr_a,30km,2017,modis
Yamubetsu,26,2.05349902,1.901369919,chr_a,30km,2017,modis
Horonai,92,1.407569218,0.352261921,chr_a,30km,2017,modis
Shimonaefutoro,104,1.038037417,0.161162044,chr_a,30km,2017,modis
Masuhoro,50,1.010753472,0.168968645,chr_a,30km,2017,modis
Nobusha,74,1.129045106,0.405626681,chr_a,30km,2017,modis
Shokanbetsu,15,1.340564167,0.784732167,chr_a,30km,2017,modis
Atsuta,70,2.672993686,1.376062777,chr_a,30km,2017,modis
Shakotan,137,0.884363785,0.277616787,chr_a,30km,2017,modis
Yobetsu,25,0.809190221,0.100733006,chr_a,30km,2017,modis
Furuu,38,0.746840657,0.075049978,chr_a,30km,2017,modis
Tomari,88,0.805547678,0.242863893,chr_a,30km,2017,modis
Chihase,10,1.196161509,0.526170126,chr_a,30km,2017,modis
Sukki,59,1.293171048,0.667635621,chr_a,30km,2017,modis
Toshibetsu,30,1.820530583,0.857608265,chr_a,30km,2017,modis
Futoro,12,1.955651104,0.737105521,chr_a,30km,2017,modis
Usubetsu,48,1.909127014,0.710219765,chr_a,30km,2017,modis
Kenichi,24,1.630773569,0.558151798,chr_a,30km,2017,modis
Toppu,13,2.160963664,1.537637236,chr_a,30km,2017,modis
Hime,5,2.448471332,1.593152457,chr_a,30km,2017,modis
Ishizaki,59,1.375325806,0.477925407,chr_a,30km,2017,modis
Ookamotsu,58,1.081918686,0.379646858,chr_a,30km,2017,modis
Kokamotsu,10,1.055104637,0.203178789,chr_a,30km,2017,modis
Mogusa,9,0.972465787,0.180571421,chr_a,30km,2017,modis
Oyobe,43,0.969287524,0.27714076,chr_a,30km,2017,modis
Shiotomari,100,1.246211812,0.685026779,chr_a,30km,2017,modis
Haraki,54,1.272376368,0.328730012,chr_a,30km,2017,modis
Hidakahorobetsu,84,2.192626077,0.417207496,chr_a,30km,2017,modis
Nikanbetsu,51,2.764731503,3.558578699,chr_a,30km,2017,modis
Utabetsu,42,2.415806484,0.322934078,chr_a,30km,2017,modis
Nishibetsu,73,4.246262834,1.48447892,chr_a,30km,2018,modis
Onnebetsu,109,2.034957272,1.29026194,chr_a,30km,2018,modis
Okushibetsu,17,2.47014451,0.761094278,chr_a,30km,2018,modis
Yamubetsu,27,2.296975582,0.649520197,chr_a,30km,2018,modis
Horonai,92,1.50739241,0.424129553,chr_a,30km,2018,modis
Shimonaefutoro,104,1.098570904,0.394474025,chr_a,30km,2018,modis
Masuhoro,50,1.10897711,0.290785317,chr_a,30km,2018,modis
Nobusha,74,1.117035579,0.510906829,chr_a,30km,2018,modis
Shokanbetsu,15,1.846703613,2.711056672,chr_a,30km,2018,modis
Atsuta,69,2.599354981,1.357586193,chr_a,30km,2018,modis
Shakotan,140,0.499271722,0.067559539,chr_a,30km,2018,modis
Yobetsu,25,0.528203355,0.066617853,chr_a,30km,2018,modis
Furuu,38,0.646806788,0.186580455,chr_a,30km,2018,modis
Tomari,84,0.570028757,0.12002073,chr_a,30km,2018,modis
Chihase,10,0.606410593,0.05969605,chr_a,30km,2018,modis
Sukki,59,0.700583024,0.240335905,chr_a,30km,2018,modis
Toshibetsu,30,0.661100938,0.213051386,chr_a,30km,2018,modis
Futoro,12,0.549613235,0.125913102,chr_a,30km,2018,modis
Usubetsu,48,0.558743257,0.096967897,chr_a,30km,2018,modis
Kenichi,25,0.538691466,0.232558073,chr_a,30km,2018,modis
Toppu,13,0.403141829,0.082589002,chr_a,30km,2018,modis
Hime,5,0.393711072,0.036162766,chr_a,30km,2018,modis
Ishizaki,59,0.397915571,0.047108218,chr_a,30km,2018,modis
Ookamotsu,58,0.430675604,0.060002838,chr_a,30km,2018,modis
Kokamotsu,10,0.509150642,0.04151174,chr_a,30km,2018,modis
Mogusa,9,0.485293385,0.075365939,chr_a,30km,2018,modis
Oyobe,43,0.572572052,0.076700027,chr_a,30km,2018,modis
Shiotomari,104,0.772274412,0.381753826,chr_a,30km,2018,modis
Haraki,54,0.677538621,0.075600691,chr_a,30km,2018,modis
Hidakahorobetsu,84,1.77861068,0.339651043,chr_a,30km,2018,modis
Nikanbetsu,53,2.470764219,0.623275632,chr_a,30km,2018,modis
Utabetsu,42,2.836770966,0.44679701,chr_a,30km,2018,modis
Nishibetsu,76,4.410621651,2.101797202,chr_a,30km,2019,modis
Onnebetsu,107,1.579491872,0.419727515,chr_a,30km,2019,modis
Okushibetsu,17,2.222541676,1.409428897,chr_a,30km,2019,modis
Yamubetsu,25,1.992886324,0.334466198,chr_a,30km,2019,modis
Horonai,93,1.298417803,0.287494569,chr_a,30km,2019,modis
Shimonaefutoro,104,1.091638173,0.232891743,chr_a,30km,2019,modis
Masuhoro,50,1.169537191,0.27591541,chr_a,30km,2019,modis
Nobusha,76,1.200275044,0.285626474,chr_a,30km,2019,modis
Shokanbetsu,15,1.57597266,1.031257691,chr_a,30km,2019,modis
Atsuta,71,3.049529354,1.670854223,chr_a,30km,2019,modis
Shakotan,140,0.720365359,0.120438873,chr_a,30km,2019,modis
Yobetsu,25,0.684475408,0.146313459,chr_a,30km,2019,modis
Furuu,39,0.567820708,0.100346074,chr_a,30km,2019,modis
Tomari,86,0.644833436,0.150294309,chr_a,30km,2019,modis
Chihase,10,0.794354433,0.144597918,chr_a,30km,2019,modis
Sukki,59,0.971510826,0.762290269,chr_a,30km,2019,modis
Toshibetsu,30,0.683509785,0.144609086,chr_a,30km,2019,modis
Futoro,12,0.659066461,0.155585045,chr_a,30km,2019,modis
Usubetsu,48,0.632889078,0.170647346,chr_a,30km,2019,modis
Kenichi,24,0.836660843,0.538885546,chr_a,30km,2019,modis
Toppu,13,0.673811993,0.171405508,chr_a,30km,2019,modis
Hime,5,0.583861387,0.107883675,chr_a,30km,2019,modis
Ishizaki,59,0.551311582,0.067002375,chr_a,30km,2019,modis
