river,year_release,release_stage,abundance,abundance_unit
shokanbetsu,1997,fry,33,thousand_fish
shokanbetsu,1998,fry,30,thousand_fish
shokanbetsu,2001,fry,50,thousand_fish
shokanbetsu,2003,smolt,26.5,thousand_fish
shokanbetsu,2004,fry,200,thousand_fish
shokanbetsu,2004,smolt,32,thousand_fish
shokanbetsu,2005,fry,241,thousand_fish
shokanbetsu,2005,smolt,21.299999999999997,thousand_fish
shokanbetsu,2007,fry,34,thousand_fish
shokanbetsu,2008,fry,284,thousand_fish
shokanbetsu,2009,fry,220,thousand_fish
sukki,2011,smolt,35,thousand_fish
sukki,2012,smolt,20,thousand_fish
sukki,2013,smolt,27,thousand_fish
sukki,2014,smolt,5,thousand_fish
tomari,1981,fry,125,thousand_fish
tomari,1982,fry,350,thousand_fish
tomari,1983,fry,350,thousand_fish
tomari,1984,fry,90,thousand_fish
tomari,1985,fry,185,thousand_fish
tomari,1986,fry,210,thousand_fish
tomari,1987,fry,180,thousand_fish
tomari,1988,fry,160,thousand_fish
tomari,1989,fry,110,thousand_fish
tomari,1990,fry,180,thousand_fish
tomari,1991,fry,140,thousand_fish
tomari,1992,fry,40,thousand_fish
tomari,1992,juvenile,50,thousand_fish
tomari,1993,fry,57,thousand_fish
tomari,1993,juvenile,42,thousand_fish
tomari,1994,fry,202,thousand_fish
tomari,1994,juvenile,40,thousand_fish
tomari,1995,fry,70,thousand_fish
tomari,1996,fry,100,thousand_fish
tomari,1997,fry,100,thousand_fish
tomari,1998,fry,100,thousand_fish
tomari,1999,fry,125,thousand_fish
tomari,2000,fry,135,thousand_fish
tomari,2001,fry,147,thousand_fish
tomari,2002,fry,146,thousand_fish
tomari,2003,fry,125,thousand_fish
tomari,2004,fry,100,thousand_fish
tomari,2005,fry,138,thousand_fish
tomari,2006,fry,121,thousand_fish
tomari,2006,juvenile,12,thousand_fish
tomari,2007,fry,121,thousand_fish
tomari,2007,juvenile,20,thousand_fish
tomari,2008,fry,125,thousand_fish
tomari,2008,juvenile,100,thousand_fish
tomari,2009,fry,125,thousand_fish
tomari,2009,juvenile,100,thousand_fish
tomari,2010,fry,125,thousand_fish
tomari,2010,juvenile,100,thousand_fish
tomari,2011,fry,125,thousand_fish
tomari,2011,juvenile,100,thousand_fish
tomari,2012,fry,125,thousand_fish
tomari,2012,juvenile,0.1,thousand_fish
tomari,2013,fry,125,thousand_fish
tomari,2013,juvenile,100,thousand_fish
tomari,2014,fry,88,thousand_fish
tomari,2014,juvenile,40,thousand_fish
tomari,2015,fry,125,thousand_fish
tomari,2015,juvenile,100,thousand_fish
tomari,2017,fry,100,thousand_fish
tomari,2017,juvenile,40,thousand_fish
tomari,2019,fry,125,thousand_fish
tomari,2019,juvenile,80,thousand_fish
tomari,2020,fry,120,thousand_fish
toppu,1978,fry,2,thousand_fish
toppu,1979,fry,25,thousand_fish
toppu,1980,fry,4,thousand_fish
toppu,1981,fry,134,thousand_fish
toppu,1982,fry,56,thousand_fish
toppu,1983,fry,57,thousand_fish
toppu,1985,fry,80,thousand_fish
toppu,1986,fry,170,thousand_fish
toppu,1987,fry,200,thousand_fish
toppu,1988,fry,80,thousand_fish
toppu,1990,fry,50,thousand_fish
toppu,1990,smolt,344.4,thousand_fish
toppu,1992,smolt,9.7,thousand_fish
toppu,1993,smolt,40,thousand_fish
toppu,1994,fry,10,thousand_fish
toppu,1994,smolt,40,thousand_fish
toppu,1995,fry,75,thousand_fish
toppu,1998,smolt,259.6,thousand_fish
toppu,1999,fry,51,thousand_fish
toppu,1999,juvenile,11.2,thousand_fish
toppu,2000,juvenile,14.9,thousand_fish
toppu,2001,juvenile,30,thousand_fish
toppu,2002,juvenile,13.7,thousand_fish
toppu,2004,fry,93,thousand_fish
toppu,2005,fry,81,thousand_fish
toppu,2005,smolt,143,thousand_fish
toppu,2006,fry,111,thousand_fish
toppu,2006,smolt,143,thousand_fish
toppu,2007,fry,90,thousand_fish
toppu,2007,smolt,143,thousand_fish
toppu,2008,fry,90,thousand_fish
toppu,2008,smolt,81.6,thousand_fish
toppu,2009,fry,118,thousand_fish
toppu,2009,smolt,71.6,thousand_fish
toppu,2010,fry,40,thousand_fish
toppu,2010,smolt,71.6,thousand_fish
toppu,2011,fry,132,thousand_fish
toppu,2011,smolt,71.6,thousand_fish
toppu,2012,fry,90,thousand_fish
toppu,2012,smolt,210,thousand_fish
toppu,2013,fry,20,thousand_fish
toppu,2013,smolt,210,thousand_fish
toppu,2014,fry,20,thousand_fish
toppu,2014,smolt,205,thousand_fish
toppu,2019,fry,20,thousand_fish
toshibetsu,1990,fry,810,thousand_fish
toshibetsu,1992,fry,430,thousand_fish
toshibetsu,1993,fry,110,thousand_fish
toshibetsu,1995,fry,48,thousand_fish
toshibetsu,1997,fry,161,thousand_fish
usubetsu,1981,fry,77,thousand_fish
usubetsu,1982,fry,31,thousand_fish
usubetsu,1983,fry,31,thousand_fish
usubetsu,1984,fry,15,thousand_fish
usubetsu,1985,fry,50,thousand_fish
usubetsu,1986,fry,80,thousand_fish
usubetsu,1987,fry,90,thousand_fish
usubetsu,1988,fry,80,thousand_fish
usubetsu,1994,fry,50,thousand_fish
usubetsu,1995,fry,109,thousand_fish
usubetsu,1995,smolt,11.4,thousand_fish
usubetsu,1996,fry,52,thousand_fish
usubetsu,1997,fry,100,thousand_fish
usubetsu,1997,smolt,7.8,thousand_fish
usubetsu,1998,fry,78,thousand_fish
usubetsu,1999,fry,91,thousand_fish
usubetsu,2000,fry,50,thousand_fish
usubetsu,2001,fry,60,thousand_fish
usubetsu,2001,juvenile,11.9,thousand_fish
usubetsu,2001,smolt,66.6,thousand_fish
usubetsu,2002,fry,55,thousand_fish
usubetsu,2002,juvenile,4.2,thousand_fish
usubetsu,2002,smolt,72,thousand_fish
usubetsu,2003,fry,90,thousand_fish
usubetsu,2003,smolt,71.4,thousand_fish
usubetsu,2004,fry,75,thousand_fish
usubetsu,2004,smolt,71.4,thousand_fish
usubetsu,2005,fry,72,thousand_fish
usubetsu,2005,smolt,71.4,thousand_fish
usubetsu,2006,fry,99,thousand_fish
usubetsu,2006,smolt,71.4,thousand_fish
usubetsu,2007,fry,80,thousand_fish
usubetsu,2007,smolt,71.4,thousand_fish
usubetsu,2008,fry,80,thousand_fish
usubetsu,2008,smolt,71.4,thousand_fish
usubetsu,2009,fry,102,thousand_fish
usubetsu,2009,smolt,71.4,thousand_fish
usubetsu,2010,fry,30,thousand_fish
usubetsu,2010,smolt,71.4,thousand_fish
usubetsu,2011,fry,98,thousand_fish
usubetsu,2011,smolt,71.4,thousand_fish
usubetsu,2012,fry,140,thousand_fish
usubetsu,2012,smolt,45,thousand_fish
usubetsu,2013,fry,139,thousand_fish
usubetsu,2013,smolt,45,thousand_fish
usubetsu,2014,fry,72,thousand_fish
usubetsu,2014,smolt,10,thousand_fish
utabetsu,1981,fry,124,thousand_fish
utabetsu,1982,fry,85,thousand_fish
utabetsu,1983,fry,85,thousand_fish
utabetsu,1986,fry,59,thousand_fish
utabetsu,1987,fry,4,thousand_fish
utabetsu,1988,fry,52,thousand_fish
utabetsu,1989,fry,100,thousand_fish
utabetsu,1990,fry,50,thousand_fish
utabetsu,1991,fry,101,thousand_fish
utabetsu,1992,fry,146,thousand_fish
utabetsu,1993,fry,55,thousand_fish
utabetsu,1994,fry,82,thousand_fish
utabetsu,1995,fry,40,thousand_fish
utabetsu,1996,fry,47,thousand_fish
utabetsu,1997,fry,50,thousand_fish
utabetsu,1998,fry,100,thousand_fish
utabetsu,1999,fry,70,thousand_fish
utabetsu,2000,fry,25,thousand_fish
utabetsu,2001,fry,36,thousand_fish
utabetsu,2002,fry,63,thousand_fish
utabetsu,2003,fry,66,thousand_fish
utabetsu,2004,fry,25,thousand_fish
yamubetsu,1977,fry,175,thousand_fish
yamubetsu,1978,fry,400,thousand_fish
yamubetsu,1979,fry,200,thousand_fish
yamubetsu,1980,fry,172,thousand_fish
yamubetsu,1981,fry,151,thousand_fish
yamubetsu,1983,fry,102,thousand_fish
yamubetsu,1984,fry,204,thousand_fish
yamubetsu,1985,fry,108,thousand_fish
yamubetsu,1986,fry,50,thousand_fish
yamubetsu,1987,juvenile,20,thousand_fish
yamubetsu,1988,juvenile,79,thousand_fish
yamubetsu,1989,juvenile,51,thousand_fish
yamubetsu,1991,fry,40,thousand_fish
yamubetsu,1991,smolt,6.6,thousand_fish
yamubetsu,1993,smolt,6,thousand_fish
yamubetsu,1994,smolt,16,thousand_fish
yamubetsu,1995,juvenile,25,thousand_fish
yamubetsu,1996,fry,100,thousand_fish
yamubetsu,1996,juvenile,25,thousand_fish
yamubetsu,1997,fry,200,thousand_fish
yamubetsu,1997,juvenile,25,thousand_fish
yamubetsu,1998,fry,95,thousand_fish
yamubetsu,1998,juvenile,25,thousand_fish
yamubetsu,1999,fry,120,thousand_fish
yobetsu,1981,fry,275,thousand_fish
yobetsu,1982,fry,320,thousand_fish
yobetsu,1983,fry,320,thousand_fish
yobetsu,1984,fry,31,thousand_fish
yobetsu,1985,fry,70,thousand_fish
yobetsu,1986,fry,80,thousand_fish
yobetsu,1987,fry,120,thousand_fish
yobetsu,1988,fry,180,thousand_fish
yobetsu,1990,fry,230,thousand_fish
yobetsu,1991,fry,100,thousand_fish
yobetsu,1991,juvenile,53,thousand_fish
yobetsu,1992,fry,70,thousand_fish
yobetsu,1992,juvenile,50,thousand_fish
yobetsu,1993,fry,20,thousand_fish
yobetsu,1993,juvenile,42,thousand_fish
yobetsu,1994,juvenile,50,thousand_fish
yobetsu,1995,fry,100,thousand_fish
yobetsu,1996,fry,130,thousand_fish
yobetsu,1997,fry,100,thousand_fish
yobetsu,1998,fry,295,thousand_fish
yobetsu,1999,fry,102,thousand_fish
yobetsu,2000,fry,106,thousand_fish
yobetsu,2001,fry,100,thousand_fish
yobetsu,2002,fry,100,thousand_fish
yobetsu,2003,fry,67,thousand_fish
yobetsu,2004,fry,100,thousand_fish
yobetsu,2005,fry,101,thousand_fish
yobetsu,2005,smolt,21.7,thousand_fish
yobetsu,2006,fry,100,thousand_fish
yobetsu,2006,smolt,20,thousand_fish
yobetsu,2007,fry,100,thousand_fish
yobetsu,2007,smolt,20,thousand_fish
yobetsu,2008,fry,100,thousand_fish
yobetsu,2008,smolt,20,thousand_fish
yobetsu,2009,fry,100,thousand_fish
yobetsu,2009,smolt,10,thousand_fish
yobetsu,2010,fry,100,thousand_fish
yobetsu,2010,smolt,10,thousand_fish
yobetsu,2011,fry,100,thousand_fish
yobetsu,2011,smolt,10,thousand_fish
yobetsu,2012,fry,110,thousand_fish
yobetsu,2013,fry,110,thousand_fish
yobetsu,2014,fry,110,thousand_fish
yobetsu,2015,fry,110,thousand_fish
yobetsu,2017,fry,110,thousand_fish
yobetsu,2019,fry,110,thousand_fish
yobetsu,2020,fry,110,thousand_fish
