river,year_release,abundance,abundance_unit,release_stage
masuhoro,1994,14,thousand_fish,fry
mogusa,1994,10,thousand_fish,fry
ishizaki,1995,184,thousand_fish,fry
usubetsu,1995,109,thousand_fish,fry
utabetsu,1995,40,thousand_fish,fry
ookamotsu,1995,69,thousand_fish,fry
oyobe,1995,68,thousand_fish,fry
kenichi,1995,108,thousand_fish,fry
kokamotsu,1995,60,thousand_fish,fry
chihase,1995,150,thousand_fish,fry
futoro,1995,155,thousand_fish,fry
toshibetsu,1995,48,thousand_fish,fry
toppu,1995,75,thousand_fish,fry
tomari,1995,70,thousand_fish,fry
nikanbetsu,1995,67,thousand_fish,fry
nishibetsu,1995,607,thousand_fish,fry
nobusha,1995,200,thousand_fish,fry
hidakahorobetsu,1995,106,thousand_fish,fry
hime,1995,110,thousand_fish,fry
furuu,1995,100,thousand_fish,fry
horonai,1995,0,thousand_fish,fry
mogusa,1995,68,thousand_fish,fry
yobetsu,1995,100,thousand_fish,fry
ishizaki,1996,101,thousand_fish,fry
usubetsu,1996,52,thousand_fish,fry
utabetsu,1996,47,thousand_fish,fry
ookamotsu,1996,40,thousand_fish,fry
oyobe,1996,42,thousand_fish,fry
kenichi,1996,53,thousand_fish,fry
kokamotsu,1996,40,thousand_fish,fry
shokanbetsu,1996,33,thousand_fish,fry
chihase,1996,150,thousand_fish,fry
futoro,1996,51,thousand_fish,fry
yamubetsu,1996,100,thousand_fish,fry
tomari,1996,100,thousand_fish,fry
nikanbetsu,1996,40,thousand_fish,fry
nishibetsu,1996,234,thousand_fish,fry
nobusha,1996,80,thousand_fish,fry
nobusha,1996,200,thousand_fish,fry
hidakahorobetsu,1996,106,thousand_fish,fry
hime,1996,51,thousand_fish,fry
furuu,1996,100,thousand_fish,fry
horonai,1996,218,thousand_fish,fry
mogusa,1996,42,thousand_fish,fry
yobetsu,1996,130,thousand_fish,fry
ishizaki,1997,101,thousand_fish,fry
usubetsu,1997,100,thousand_fish,fry
utabetsu,1997,50,thousand_fish,fry
kenichi,1997,52,thousand_fish,fry
shokanbetsu,1997,33,thousand_fish,fry
chihase,1997,100,thousand_fish,fry
futoro,1997,79,thousand_fish,fry
toshibetsu,1997,161,thousand_fish,fry
yamubetsu,1997,200,thousand_fish,fry
tomari,1997,100,thousand_fish,fry
nikanbetsu,1997,63,thousand_fish,fry
nishibetsu,1997,115,thousand_fish,fry
nobusha,1997,400,thousand_fish,fry
hime,1997,51,thousand_fish,fry
furuu,1997,110,thousand_fish,fry
horonai,1997,273,thousand_fish,fry
yobetsu,1997,100,thousand_fish,fry
ishizaki,1998,78,thousand_fish,fry
usubetsu,1998,78,thousand_fish,fry
utabetsu,1998,100,thousand_fish,fry
shiotomari,1998,61,thousand_fish,fry
shokanbetsu,1998,30,thousand_fish,fry
nikanbetsu,1998,100,thousand_fish,fry
chihase,1998,105,thousand_fish,fry
futoro,1998,78,thousand_fish,fry
tomari,1998,100,thousand_fish,fry
yamubetsu,1998,95,thousand_fish,fry
nishibetsu,1998,200,thousand_fish,fry
nobusha,1998,247,thousand_fish,fry
hidakahorobetsu,1998,178,thousand_fish,fry
hime,1998,40,thousand_fish,fry
furuu,1998,105,thousand_fish,fry
kenichi,1998,39,thousand_fish,fry
yobetsu,1998,102,thousand_fish,fry
yobetsu,1998,193,thousand_fish,fry
ishizaki,1999,94,thousand_fish,fry
usubetsu,1999,91,thousand_fish,fry
utabetsu,1999,70,thousand_fish,fry
shiotomari,1999,17,thousand_fish,fry
shiotomari,1999,35,thousand_fish,fry
nikanbetsu,1999,97,thousand_fish,fry
chihase,1999,14,thousand_fish,fry
chihase,1999,111,thousand_fish,fry
futoro,1999,92,thousand_fish,fry
tomari,1999,125,thousand_fish,fry
toppu,1999,51,thousand_fish,fry
yamubetsu,1999,120,thousand_fish,fry
nishibetsu,1999,177,thousand_fish,fry
hidakahorobetsu,1999,112,thousand_fish,fry
furuu,1999,43,thousand_fish,fry
horonai,1999,305,thousand_fish,fry
yobetsu,1999,102,thousand_fish,fry
ishizaki,2000,50,thousand_fish,fry
usubetsu,2000,50,thousand_fish,fry
utabetsu,2000,2,thousand_fish,fry
utabetsu,2000,23,thousand_fish,fry
shiotomari,2000,50,thousand_fish,fry
chihase,2000,135,thousand_fish,fry
futoro,2000,50,thousand_fish,fry
tomari,2000,135,thousand_fish,fry
nikanbetsu,2000,32,thousand_fish,fry
nikanbetsu,2000,18,thousand_fish,fry
nobusha,2000,200,thousand_fish,fry
hidakahorobetsu,2000,35,thousand_fish,fry
furuu,2000,226,thousand_fish,fry
masuhoro,2000,25,thousand_fish,fry
yobetsu,2000,106,thousand_fish,fry
ishizaki,2001,60,thousand_fish,fry
usubetsu,2001,60,thousand_fish,fry
utabetsu,2001,36,thousand_fish,fry
shiotomari,2001,50,thousand_fish,fry
shokanbetsu,2001,50,thousand_fish,fry
chihase,2001,154,thousand_fish,fry
futoro,2001,49,thousand_fish,fry
